strain,date,epi_03,country,epi_00,epi_02,surface_residues_pref,region,epi_01,epi_05,surface_residues_postf,epi_04,clade_membership,epi_all,author,accession
310103025,12/18/2019,,Netherlands,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376655
310103026,12/17/2019,,Netherlands,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376644
310103028,12/16/2019,,Netherlands,,1,1,Europe,,,1,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376338
310103031,12/16/2019,,Netherlands,,1,1,Europe,,,1,,A.D.2.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376337
310103035,12/13/2019,,Netherlands,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376604
310103037,12/12/2019,,Netherlands,,1,1,Europe,,,1,,A.D.2.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376593
310103039,12/11/2019,,Netherlands,,1,1,Europe,,,1,,A.D.2.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376579
310103040,12/11/2019,,Netherlands,,1,2,Europe,,,2,,A.D.5,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376582
310103042,12/11/2019,,Netherlands,,1,1,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376285
310103043,12/10/2019,,Netherlands,,1,1,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376268
310103046,12/5/2019,,Netherlands,,1,1,Europe,,,1,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376807
310103048,11/29/2019,,Netherlands,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376473
310103050,11/26/2019,,Netherlands,,1,1,Europe,,,1,,A.D.2.2.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376438
310103055,11/19/2019,,Netherlands,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376366
310103057,11/13/2019,,Netherlands,,1,1,Europe,,,1,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376310
310103059,11/12/2019,,Netherlands,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376591
310103063,2/10/2020,,Netherlands,1,1,3,Europe,,1,3,,A.D.5,3,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376570
310103064,2/13/2020,,Netherlands,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376315
330102001,12/19/2018,,France,,1,1,Europe,,,1,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376368
330102012,1/18/2019,,France,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376352
330103003,10/21/2019,,France,,1,2,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376397
330103004,10/21/2019,,France,1,1,2,Europe,,,2,,A.D.5,2,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376697
330103005,10/21/2019,,France,,1,1,Europe,,,1,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376398
330103006,10/23/2019,,France,,1,1,Europe,,,1,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376711
330103007,10/30/2019,,France,,1,1,Europe,,,1,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376489
330103009,11/4/2019,,France,,1,1,Europe,,,1,,A.D.3,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376499
330103010,11/5/2019,,France,,1,1,Europe,,,1,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376517
330103011,11/8/2019,,France,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376827
330103012,11/12/2019,,France,,1,2,Europe,,,2,,A.D.5.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376298
330103014,11/18/2019,,France,,1,1,Europe,,,1,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376353
330103017,11/19/2019,,France,,,,Europe,,,,,A.D.3,,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376367
330103019,11/20/2019,,France,,1,2,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376386
330103020,11/20/2019,,France,,1,2,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376687
330103022,11/25/2019,,France,,1,1,Europe,,,1,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376735
330103024,11/27/2019,,France,,1,1,Europe,,,1,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376748
330103025,11/27/2019,,France,,1,2,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376451
330103026,11/27/2019,,France,,,,Europe,,,,,A.D.3,,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376452
330103027,11/27/2019,,France,,1,1,Europe,,,1,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376450
330103028,11/27/2019,,France,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376750
330103030,12/4/2019,,France,,1,1,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376795
330103031,12/4/2019,,France,,1,1,Europe,,,1,,A.D.5,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376503
330103033,12/6/2019,,France,,1,2,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376531
330103036,12/12/2019,,France,,,,Europe,,,,,A.D.3,,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376301
330103038,1/14/2020,,France,,1,2,Europe,,,2,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376318
330103039,1/20/2020,,France,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376683
340102041,2/18/2019,,Spain,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376658
340103006,11/28/2019,,Spain,,1,1,Europe,,,1,,A.D.2.2.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376463
340103007,11/29/2019,,Spain,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376770
340103009,12/2/2019,,Spain,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376378
340103010,12/5/2019,,Spain,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376806
340103011,12/9/2019,,Spain,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376551
340103013,12/5/2019,,Spain,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376521
340103015,12/13/2019,,Spain,,1,1,Europe,,,1,,A.D.3,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376312
340103016,12/16/2019,,Spain,,1,2,Europe,,1,2,,A.D.1,2,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376633
340103020,12/24/2019,,Spain,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376725
340103023,12/27/2019,,Spain,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376752
340103024,12/31/2019,,Spain,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376496
340103026,1/7/2020,,Spain,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376822
340103027,1/10/2020,,Spain,,1,1,Europe,,,1,,A.D.3,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376267
340103028,1/16/2020,,Spain,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376630
340103029,1/17/2020,,Spain,,1,2,Europe,,,2,,A.D.3,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376640
340103038,2/28/2020,,Spain,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376465
358101003,12/16/2017,,Finland,,1,2,Europe,,,1,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376631
358101047,3/22/2018,,Finland,,1,1,Europe,,,1,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376707
358102023,4/30/2019,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376786
358103001,1/20/2020,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376385
358103002,1/21/2020,,Finland,,1,1,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376695
358103005,1/23/2020,,Finland,,,,Europe,,,,,A.D.2.2,,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376710
358103006,1/24/2020,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376720
358103007,1/29/2020,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376768
358103017,2/3/2020,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376484
358103018,2/3/2020,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376780
358103019,2/4/2020,,Finland,,,,Europe,,,,,A.D.2.2,,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376796
358103020,2/5/2020,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376524
358103022,2/7/2020,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376540
358103024,2/10/2020,,Finland,,,,Europe,,,,,A.D.2.2,,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376269
358103025,2/10/2020,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376271
358103026,2/11/2020,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376287
358103028,2/12/2020,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376302
358103030,2/14/2020,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376323
358103031,2/16/2020,,Finland,,,,Europe,,,,,A.D.2.2,,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376339
358103032,2/18/2020,,Finland,,,,Europe,,,,,A.D.2.2,,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376361
358103033,2/18/2020,,Finland,,,,Europe,,,,,A.D.2.2,,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376659
358103035,2/19/2020,,Finland,,,,Europe,,,,,A.D.2.2,,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376669
358103036,2/19/2020,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376370
358103037,2/20/2020,,Finland,,1,2,Europe,,,2,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376393
358103039,2/21/2020,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376404
358103040,2/21/2020,,Finland,,,,Europe,,,,,A.D.2.2,,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376701
358103041,2/22/2020,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376706
358103042,2/25/2020,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP377571
358103044,2/26/2020,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376439
358103048,3/11/2020,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376290
358103050,3/14/2020,,Finland,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376324
390103002,12/15/2019,,Italy,,1,1,Europe,,,1,,A.D.5,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376332
390103003,12/15/2019,,Italy,,1,1,Europe,,,1,,A.D.5,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376622
390103004,12/18/2019,,Italy,,1,1,Europe,,,1,,A.D.5,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376656
390103006,12/28/2019,,Italy,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376464
390103008,12/30/2019,,Italy,,1,2,Europe,,,2,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376491
390103009,1/2/2020,,Italy,,1,1,Europe,,,1,,A.D.3,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376375
390103011,1/9/2020,,Italy,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376832
390103014,1/14/2020,,Italy,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376611
390103016,2/11/2020,,Italy,,1,2,Europe,,,2,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376288
440103002,10/15/2019,,United Kingdom,,1,1,Europe,,,1,,A.D.3,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376327
440103005,10/29/2019,,United Kingdom,,1,1,Europe,,,1,,A.D.3,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376769
440103007,11/5/2019,,United Kingdom,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376518
440103013,11/12/2019,,United Kingdom,,1,1,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376297
440103023,11/21/2019,,United Kingdom,,1,1,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376699
440103024,11/21/2019,,United Kingdom,,1,1,Europe,,,1,,A.D.5.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376400
440103035,12/2/2019,,United Kingdom,,1,1,Europe,,,1,,A.D.3,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376675
440103036,12/4/2019,,United Kingdom,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP377584
440103038,12/9/2019,,United Kingdom,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376837
440103039,12/9/2019,,United Kingdom,,1,1,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376835
440103040,12/9/2019,,United Kingdom,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376836
490103001,1/6/2020,,Germany,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376527
490103003,1/10/2020,,Germany,,1,1,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376564
490103004,1/20/2020,,Germany,,1,1,Europe,,,1,,A.D.5,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376684
490103005,1/29/2020,,Germany,,1,1,Europe,,,1,,A.D.5,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376767
490103006,1/30/2020,,Germany,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376782
490103007,2/3/2020,,Germany,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376483
490103008,2/5/2020,,Germany,,1,1,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376525
490103009,2/9/2020,,Germany,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376554
490103010,2/10/2020,,Germany,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376568
490103012,2/14/2020,,Germany,,1,1,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376615
490103014,2/14/2020,,Germany,,1,1,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376616
490103015,2/24/2020,,Germany,,1,1,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376423
490103016,2/24/2020,,Germany,,1,1,Europe,,,1,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376422
490103017,3/4/2020,,Germany,,1,1,Europe,,,1,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376797
490103018,3/12/2020,,Germany,,1,2,Europe,,,2,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376596
490103019,2/15/2020,,Germany,,1,2,Europe,,,2,,A.D.2.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376625
490103020,2/21/2020,,Germany,,1,2,Europe,,,2,,A.D.2.2,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376403
490103022,3/10/2020,,Germany,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376571
490103023,3/10/2020,,Germany,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376272
490103024,3/11/2020,,Germany,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376585
490103025,3/16/2020,,Germany,,1,1,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376637
490103026,3/16/2020,,Germany,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376340
490103027,3/17/2020,,Germany,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376646
490103028,3/18/2020,,Germany,,1,3,Europe,1,,2,,A.D.1,2,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376362
490103029,3/23/2020,,Germany,,1,1,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376414
490103031,3/27/2020,,Germany,,1,1,Europe,,,1,,A.D.5,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376457
490103032,3/23/2020,,Germany,,1,1,Europe,,,1,,A.D.1,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376714
490103033,3/30/2020,,Germany,,1,1,Europe,,,1,,A.D.5,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376785
490103035,3/31/2020,,Germany,,1,1,Europe,,,1,,A.D,1,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376789
520103021,2/9/2020,,Mexico,1,1,2,North America,,,2,,A.D.2.2,2,"Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.",PP376838
